No,AQI
33406,88.97723452
33407,84.07497708
33408,27.88642531
33409,51.94267281
33410,55.98333239
33411,63.0244667
33412,119.4385464
33413,155.7105171
33414,199.0963139
33415,109.3686876
33416,94.23025091
33417,53.02553771
33418,42.29475238
33419,58.17307969
33420,87.33272819
33421,100.1664942
33422,109.19505
33423,91.3215653
33424,84.57614603
33425,114.1545707
33426,117.3576338
33427,125.1700848
33428,136.203076
33429,142.6945214
33430,158.4180753
33431,157.4581246
33432,144.4237079
33433,109.0362545
33434,109.9427304
33435,67.42256407
33436,60.74904528
33437,35.53889254
33438,38.46327007
33439,28.58713034
33440,50.71742348
33441,41.70620487
33442,38.43155497
33443,39.30258229
33444,39.03535423
33445,48.6476505
33446,178.4631333
33447,300.433072
33448,308.3431402
33449,382.7676588
33450,403.582698
33451,385.0164459
33452,402.1131396
33453,463.3383214
33454,521.8499865
33455,479.8954442
33456,491.7955834
33457,354.9464719
33458,503.8653946
33459,427.8560354
33460,407.9987528
33461,403.3024732
33462,221.4695482
33463,301.2127722
33464,321.4123284
33465,207.7385763
33466,112.2915029
33467,211.3611581
33468,221.0996201
33469,238.7623334
33470,272.2055511
33471,303.0340699
33472,347.5835779
33473,236.2611267
33474,268.9044797
33475,286.9072765
33476,280.0813575
33477,250.8364006
33478,271.566849
33479,223.1403578
33480,133.8573131
33481,85.94466096
33482,83.39434912
33483,102.4482996
33484,127.169808
33485,88.1532358
33486,73.84948071
33487,108.0374398
33488,122.8909342
33489,82.79962845
33490,76.98638553
33491,25.93336625
33492,22.40487436
33493,22.17676554
33494,121.0578524
33495,170.8416744
33496,192.4093776
33497,250.3904672
33498,201.1778166
33499,141.6244029
33500,17.38956574
33501,16.93500174
33502,16.75898833
33503,16.72222524
33504,16.66749869
33505,60.6089934
33506,49.68799029
33507,32.67239876
33508,55.67873261
33509,37.7274677
33510,34.06735943
33511,26.96252007
33512,54.91323265
33513,45.7809192
33514,89.58931385
33515,88.44474225
33516,69.06809542
33517,82.38923697
33518,85.46370857
33519,69.59990012
33520,92.74590787
33521,113.2804226
33522,148.1883936
33523,136.4880776
33524,137.6368991
33525,135.6615619
33526,133.0504914
33527,118.914867
33528,152.2915152
33529,229.4153431
33530,354.9464719
33531,152.1876317
33532,176.0093846
33533,163.4115727
33534,162.9261825
33535,152.652045
33536,138.4433529
33537,185.5222057
33538,171.9105104
33539,181.1004283
33540,181.9861495
33541,183.9684597
33542,143.2273803
33543,28.71771989
33544,26.34301626
33545,22.32630108
33546,20.54054793
33547,18.41063273
33548,17.8524182
33549,18.01042176
33550,16.15132144
33551,15.90491295
33552,15.76415309
33553,15.54404314
33554,15.37482174
33555,15.31773957
33556,15.29851644
33557,15.29851644
33558,15.27074223
33559,15.19596978
33560,15.14574804
33561,15.15579558
33562,15.16103597
33563,15.14558795
33564,15.15579558
33565,15.15595567
33566,15.21017117
33567,15.28494362
33568,15.44523455
33569,15.45587333
33570,15.45587333
33571,15.45587333
33572,15.45587333
33573,15.45587333
33574,15.45587333
33575,15.60891031
33576,15.48766672
33577,15.60891031
33578,15.51057955
33579,15.51057955
33580,22.29964408
33581,23.4432306
33582,23.57916994
33583,21.51601686
33584,40.68600851
33585,32.56112959
33586,37.52948648
33587,42.29524651
33588,45.34043992
33589,50.0732941
33590,50.94199547
33591,49.55205374
33592,76.93357816
33593,82.70543335
33594,83.97972606
33595,98.0214664
33596,95.28873415
33597,86.4788536
33598,120.3685926
33599,147.7306321
33600,109.9839671
33601,100.6030385
33602,113.9766246
33603,89.91741783
33604,88.82632315
33605,80.76723951
33606,78.68052466
33607,59.15272208
33608,77.08684179
33609,72.12357938
33610,78.93388753
33611,81.04893992
33612,118.8246463
33613,193.16521
33614,165.5147419
33615,199.698476
33616,172.6287055
33617,186.3489284
33618,239.1539427
33619,262.4698275
33620,264.5416203
33621,261.753085
33622,320.1799814
33623,252.3848372
33624,261.5209163
33625,205.8348574
33626,181.1594601
33627,145.0535291
33628,182.4422841
33629,198.7962069
33630,171.6052439
33631,195.8123395
33632,208.1681684
33633,202.9114492
33634,198.5674322
33635,187.5763215
33636,261.7817574
33637,263.973938
33638,313.417188
33639,295.5190962
33640,307.4569744
33641,279.8278929
33642,266.4347857
33643,268.0409165
33644,272.762247
33645,261.847878
33646,236.8385969
33647,220.2532804
33648,206.1764664
33649,219.0465215
33650,218.1211163
33651,173.150074
33652,157.3619843
33653,155.7540486
33654,126.4528067
33655,75.99083011
33656,57.18875295
33657,29.70757822
33658,25.93591431
33659,23.49914788
33660,21.95450443
33661,20.92059595
33662,26.340303
33663,38.35841701
33664,38.00546288
33665,45.15199888
33666,50.88639877
33667,54.11946428
33668,63.86121615
33669,63.77873519
33670,61.49953873
33671,54.76280697
33672,40.34390556
33673,31.69969171
33674,28.21168769
33675,22.58039178
33676,23.04700323
33677,21.90247421
33678,20.81103208
33679,20.35187266
33680,19.1194363
33681,19.06240246
33682,19.08256704
33683,37.73986331
33684,44.84495573
33685,47.76334805
33686,31.09127755
33687,78.72864176
33688,89.6268832
33689,93.44232004
33690,82.64006913
33691,62.19062668
33692,94.75788827
33693,78.00309519
33694,66.97719436
33695,62.36209267
33696,66.11405977
33697,54.62359896
33698,56.18227955
33699,56.57973239
33700,71.29360364
33701,69.73650333
33702,64.01020718
33703,64.83501406
33704,65.49512517
33705,69.4769008
33706,69.1124781
33707,66.37794831
33708,98.8516646
33709,80.97875027
33710,97.77765251
33711,107.0137315
33712,156.3153919
33713,119.1114416
33714,115.5402128
33715,111.5325483
33716,161.0178338
33717,128.4375884
33718,111.2984161
33719,109.0906846
33720,116.096151
33721,119.04552
33722,116.4333587
33723,153.5609852
33724,140.4769836
33725,106.6167748
33726,105.2156716
33727,123.1805991
33728,137.1742797
33729,140.048996
33730,127.1593609
33731,69.03443679
33732,23.51832727
33733,23.66828932
33734,19.16531195
33735,17.53145711
33736,17.43219125
33737,24.14140733
33738,27.01156655
33739,33.67834617
33740,26.35399009
33741,24.8007688
33742,22.85436152
33743,48.03228597
33744,28.14611173
33745,50.26773913
33746,42.72680785
33747,54.71989603
33748,46.77463523
33749,73.23391015
33750,88.07973113
33751,68.12202385
33752,66.99383577
33753,70.93990526
33754,66.75730777
33755,71.04825831
33756,67.65572398
33757,63.49032446
33758,80.31430839
33759,89.49370502
33760,88.27691489
33761,87.02002179
33762,86.76434191
33763,146.5193618
33764,125.5173166
33765,110.1269495
33766,115.8716444
33767,99.53086874
33768,113.8358189
33769,103.8874445
33770,124.8353629
33771,143.6595552
33772,133.7978392
33773,115.5120874
33774,137.2087895
33775,161.5896609
33776,169.4421338
33777,176.6247788
33778,184.748034
33779,196.0960499
33780,194.5057208
33781,228.5203699
33782,221.3914435
33783,213.9903983
33784,195.4147177
33785,202.9082027
33786,253.3894624
33787,231.2949794
33788,219.2776725
33789,187.5541892
33790,95.90434575
33791,51.26030166
33792,37.22936881
33793,28.59762672
33794,27.97396754
33795,43.46319887
33796,29.21242928
33797,24.11955919
33798,21.87643889
33799,26.89458124
33800,26.94496715
33801,29.91441521
33802,27.69468888
33803,35.80247273
33804,41.16806418
33805,67.06716986
33806,128.258652
33807,156.0058889
33808,148.0632816
33809,159.4403551
33810,226.7269414
33811,361.8323461
33812,296.3206694
33813,238.13104
33814,176.1950379
33815,169.4168848
33816,169.5217043
33817,184.4429056
33818,165.2444518
33819,172.1790253
33820,102.5696301
33821,107.9101155
33822,110.149057
33823,130.3193148
33824,121.6955126
33825,156.8210029
33826,178.1302817
33827,120.833418
33828,149.405682
33829,170.4841144
33830,169.3339412
33831,152.7129307
33832,159.1010746
33833,185.294808
33834,193.376853
33835,202.4686941
33836,151.5027969
33837,265.5653663
33838,194.6692034
33839,198.3152251
33840,181.5939875
33841,203.7710539
33842,192.9551409
33843,173.6189846
33844,165.6130361
33845,154.8997891
33846,152.1762421
33847,142.1552164
33848,161.1696233
33849,160.6505815
33850,147.5961273
33851,143.8141405
33852,136.7173749
33853,151.3317943
33854,156.6851765
33855,169.8711898
33856,163.3130766
33857,154.3113981
33858,149.9156792
33859,150.416401
33860,154.3477846
33861,151.7626808
33862,150.72322
33863,216.8092391
33864,211.7336518
33865,193.8718035
33866,193.1949692
33867,139.4046194
33868,58.57767431
33869,29.96931043
33870,27.66280491
33871,24.554047
33872,22.65146312
33873,20.54234634
33874,20.2549658
33875,19.90728986
33876,19.65718368
33877,25.96808466
33878,22.54050071
33879,22.02975528
33880,19.89787817
33881,18.99313263
33882,17.50288924
33883,17.50058206
33884,17.60352997
33885,28.93475876
33886,27.79547276
33887,19.61112807
33888,17.34679195
33889,16.83771703
33890,15.76095052
33891,15.20406474
33892,14.97511965
33893,14.67242599
33894,14.34950888
33895,14.32447806
33896,14.25629652
33897,14.21508218
33898,14.24966458
33899,14.20762609
33900,14.27178312
33901,14.284575
33902,14.284575
33903,22.44471353
33904,20.86605801
33905,26.37322011
33906,25.70880063
33907,19.42641902
33908,17.25241128
33909,17.04195908
33910,16.72925195
33911,16.51505901
33912,15.97976294
33913,15.47902728
33914,17.02119275
33915,15.0164111
33916,17.687998
33917,14.48955443
33918,14.4619241
33919,14.49146391
33920,14.39141638
33921,14.4075151
33922,32.62013733
33923,34.91553463
33924,41.4536514
33925,50.7738568
33926,55.86580872
33927,68.48219866
33928,73.00344155
33929,88.58281915
33930,58.36724293
33931,61.0104723
33932,52.52183883
33933,57.34589285
33934,68.96372861
33935,92.58702971
33936,123.9306928
33937,110.1705842
33938,99.21084903
33939,55.86882069
33940,71.01320387
33941,74.10290698
33942,81.19575155
33943,79.53357735
33944,87.86513236
