No,AQI
33406,110.4007698
33407,105.7835649
33408,108.779006
33409,139.7211104
33410,135.4189255
33411,141.873917
33412,128.7473998
33413,114.8771222
33414,96.49324189
33415,84.09923723
33416,61.02947233
33417,53.7550388
33418,26.56316126
33419,56.09949986
33420,56.91581967
33421,74.9706222
33422,84.4123118
33423,79.60002416
33424,92.80647476
33425,131.4916972
33426,135.3885326
33427,141.2408147
33428,152.7339612
33429,130.2682303
33430,118.1647825
33431,129.26436
33432,128.8567333
33433,151.4169316
33434,148.6561008
33435,125.4700005
33436,106.8975033
33437,94.07481215
33438,79.09399964
33439,62.47694904
33440,71.89483124
33441,48.41097382
33442,49.74965322
33443,49.3420265
33444,45.03984157
33445,53.04330295
33446,79.28306806
33447,94.77971452
33448,129.6402444
33449,137.6365901
33450,126.4572528
33451,141.938775
33452,136.6117198
33453,155.1759503
33454,154.9732756
33455,158.870111
33456,125.0147761
33457,151.9929587
33458,143.9930992
33459,143.7904244
33460,143.7968902
33461,143.3892635
33462,159.8781699
33463,82.85555383
33464,77.42649894
33465,74.75827486
33466,93.21021995
33467,68.80824145
33468,72.50012494
33469,96.50094252
33470,127.2683682
33471,138.9706551
33472,135.0662277
33473,153.2986609
33474,146.4302516
33475,144.0671782
33476,143.1517261
33477,144.3943953
33478,143.6816178
33479,131.8080626
33480,115.8349971
33481,125.6751365
33482,124.5547323
33483,140.8155388
33484,130.4463033
33485,128.4973224
33486,122.0347389
33487,127.762955
33488,106.2264759
33489,104.4817723
33490,85.30656565
33491,26.05572746
33492,24.42749785
33493,24.75471488
33494,17.48562094
33495,26.72463581
33496,25.80918364
33497,23.35237733
33498,63.05479335
33499,17.21701081
33500,32.30603054
33501,57.95714404
33502,26.77337345
33503,60.21588064
33504,77.26034702
33505,90.98097323
33506,108.738217
33507,90.27466159
33508,101.8528826
33509,79.47843383
33510,38.1477882
33511,16.4977871
33512,50.85220442
33513,41.83146479
33514,34.65143894
33515,37.83549696
33516,48.41091399
33517,59.6053755
33518,53.55688446
33519,94.55278087
33520,87.27027902
33521,90.45433705
33522,114.8692471
33523,119.5946593
33524,128.4195817
33525,131.6036397
33526,131.196013
33527,133.5659438
33528,157.3200139
33529,163.172296
33530,151.9929587
33531,158.861368
33532,166.2550042
33533,158.4560185
33534,137.3190978
33535,132.3978684
33536,145.3205599
33537,137.8411744
33538,116.712322
33539,115.9995445
33540,115.5919178
33541,125.7528507
33542,138.6628936
33543,35.72480222
33544,44.05483072
33545,46.73525184
33546,39.05853118
33547,49.12612275
33548,68.51960467
33549,54.58525243
33550,52.76081388
33551,41.10038227
33552,48.30354082
33553,48.31573787
33554,53.04761582
33555,44.95680265
33556,40.66681476
33557,32.06589889
33558,13.52193374
33559,0.61883293
33560,-12.28426788
33561,-15.24431942
33562,-24.25058477
33563,-25.04377189
33564,-25.03157484
33565,-21.21514906
33566,-20.48143154
33567,-12.16014608
33568,-3.031199214
33569,-0.145826112
33570,-1.266230264
