No,AQI
33406,61.62952693
33407,48.62702493
33408,29.20714934
33409,56.79768411
33410,53.33131695
33411,56.45341036
33412,73.98675371
33413,133.5978134
33414,159.4864421
33415,52.9876614
33416,41.60477511
33417,45.30517809
33418,37.70458438
33419,44.77143939
33420,62.80193049
33421,70.83183187
33422,98.05160554
33423,77.64784301
33424,83.02555554
33425,106.6765237
33426,107.9069304
33427,123.5510096
33428,125.4436163
33429,153.8983999
33430,136.7135143
33431,103.2109709
33432,102.7417696
33433,83.93847383
33434,96.18168052
33435,72.55777769
33436,61.61270855
33437,42.58561169
33438,38.59943751
33439,32.51167866
33440,57.78217006
33441,44.56077458
33442,44.06427733
33443,44.0080074
33444,44.12921593
33445,48.08157167
33446,109.835291
33447,169.7727309
33448,229.1157601
33449,290.9178858
33450,296.4806375
33451,292.4678012
33452,291.631313
33453,428.2576046
33454,493.7621012
33455,484.9008457
33456,425.2823107
33457,364.4793391
33458,448.6066523
33459,434.6952465
33460,314.3619877
33461,358.4847521
33462,196.4223321
33463,228.0814738
33464,207.6656267
33465,140.1448378
33466,91.97798359
33467,109.1758451
33468,130.6743832
33469,152.5285011
33470,238.2257958
33471,244.7342707
33472,305.8036795
33473,224.3877341
33474,227.1370714
33475,242.5022826
33476,247.719016
33477,236.5772643
33478,243.5556058
33479,195.1183323
33480,105.0249123
33481,94.57117849
33482,94.61958962
33483,119.2893465
33484,140.6432203
33485,110.4243117
33486,91.29166816
33487,118.9524551
33488,134.4129946
33489,88.28877945
33490,74.73257443
33491,31.21118149
33492,26.56237515
33493,25.03982474
33494,35.4521863
33495,47.76815088
33496,59.08377615
33497,77.93976122
33498,72.86692981
33499,64.87007255
33500,17.99985954
33501,18.06298022
33502,17.56205019
33503,17.84308495
33504,17.74221882
33505,67.4580655
33506,70.8123476
33507,40.70977132
33508,56.56056334
33509,54.51683432
33510,34.94959096
33511,30.73638934
33512,49.18017892
33513,43.41312651
33514,56.96990121
33515,58.59938723
33516,61.30373922
33517,73.53173185
33518,69.34368158
33519,74.90855904
33520,85.57280561
33521,94.02368307
33522,118.4910294
33523,106.6329734
33524,107.8711067
33525,125.7459233
33526,127.2004002
33527,117.8716684
33528,174.6652021
33529,244.8592617
33530,364.4793391
33531,180.5147396
33532,203.2643701
33533,208.542109
